Код;Коротка назва
28545;Виконавчий комітет Вінницької міської ради
78511;Лівобережна адміністрація Вінницької міської ради
78568;Департамент самоврядного контролю Вінницької міської ради
78570;Правобережна адміністрація Вінницької міської ради
23946;Департамент освіти Вінницької міської ради
28181;Комітет по фізичній культурі і спорту Вінницької міської ради
28794;Департамент охорони здоров'я Вінницької міської ради
86230;Департамент соціальної політики Вінницької міської ради
28703;Департамент культури Вінницької міської ради
28733;Департамент житлового господарства Вінницької міської ради
35025;Департамент міського господарства Вінницької міської ради
28667;Департамент комунального господарства та благоустрою Вінницької міської ради
78602;Департамент комунальних ресурсів Вінницької міської ради
28622;Департамент капітального будівництва Вінницької міської ради
78596;Департамент архітектури, містобудування та кадастру Вінницької міської ради
28349;Департамент енергетики, транспорту та зв'язку Вінницької міської ради
78501;Департамент фінансів Вінницької міської ради
30945;'Комунальний заклад 'Міська клінічна стоматологічна поліклініка'
27246;'Комунальний заклад 'Центр підліткових клубів за місцем проживання'
38121;Вінницький міський центр соціальних служб для сім'ї, дітей та молоді
7195;Вище художнї професійно-технічне училище № 5 м. Вінниці
7258;Вище професійне училище №11 м. Вінниці
7531;'Державний професійно-технічний навчальний заклад 'Вінницьке міжрегіональне вище професійне училище'
7705;'Державний навчальний заклад 'Вінницький центр професійно-технічної освіти технологій та дизайну'
7853;'Державний професійно-технічний навчальний заклад 'Вінницьке вище професійне училище сфери послуг'
7898;'Державний навчальний заклад 'Вище професiйне училище №7 м. Вiнницi'
7933;'Державний навчальний заклад 'Центр професійно-технічної освіти №1 м. Вінниці'
8587;'Державний навчальний заклад 'Вінницький центр професійно-технічної освіти переробної промисловості'
23108;Дошкільний навчальний заклад № 25
23579;'Заклад 'Загальноосвітня школа І-ІІІ ступенів №12 Вінницької міської ради'
24552;'Заклад 'Фізико-математична гімназія №17 Вінницької міської ради'
25447;Дошкільний навчальний заклад №30
25461;'Дошкільний навчальний заклад № 3 'Перлинка'
26986;Дошкільний навчальний заклад № 31
27283;'Заклад 'Загальноосвітня школа І-ІІІ ступенів №33 Вінницької міської ради'
27714;'Заклад 'Навчально-виховний комплекс: загальноосвітня школа І-ІІІ ступенів - гуманітарно-естетичний колегіум №29 Вінницької міської ради'
27873;Дошкільний навчальний заклад № 59
29056;'Заклад 'Вінницький міський центр художньо-хореографічної освіти дітей та юнацтва 'Барвінок'
29212;Міський методичний кабінет
29432;'Заклад 'Загальноосвітня школа І-ІІІ ступенів №4 ім. Д.і. Менделїїва Вінницької міської ради'
29492;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 21 Вінницької міської ради'
30111;Дошкільний навчальний заклад №37
31148;Дошкільний навчальний заклад №72
31164;Дошкільний навчальний заклад № 27
31344;Дошкільний навчальний заклад № 16
31389;Дошкільний навчальний заклад № 23
32083;'Комунальний заклад 'Спеціалізована загальноосвітня школа і ступеня з поглибленим вивченням іноземних мов №25 Вінницької міської ради'
32249;Централізована бухгалтерія №3 департаменту освіти Вінницької міської ради
35160;'Заклад 'Навчально-виховний комплекс: загальноосвітня школа І-ІІІ ступенів - гімназія №30 ім. Тараса Шевченка Вінницької міської ради'
35506;'Дошкільний навчальний заклад № 1 'Слов'яночка'
35528;'Заклад 'Вінницький міський палац дітей та юнацтва імені Лялі Ратушної'
35550;'Заклад 'Загальноосвітня школа І-ІІІ ступенів №22 Вінницької міської ради'
35564;Дошкільний навчальний заклад № 26
35573;'Заклад 'Загальноовітня школа І-ІІІ ступенів №16 Вінницької міської ради'
35631;'Заклад 'Загальноосвітня школа І-ІІІ ступенів №10 Вінницької міської ради'
35908;'Заклад 'Навчально - виховний комплекс: загальноосвітня школа І-ІІІ ступенів-гімназія №23 Вінницької міської ради'
36246;Дошкільний навчальний заклад № 52
36295;Дошкільний навчальний заклад №17
37513;Централізована бухгалтерія №2 департаменту освіти Вінницької міської ради
37759;'Заклад 'Спеціальна загальноосвітня школа І-ІІ ступенів з дошкільним відділенням Вінницької міської ради'
37781;'Заклад 'Загальноосвітня школа І-ІІІ ступенів №15 Вінницької міської ради'
37796;Дошкільний навчальний заклад № 24
38310;'Заклад 'Вінницький технічний ліцей'
38488;Дошкільний навчальний заклад № 57
56993;'Державний навчальний заклад 'Центр професійно-технічної освіти торгівлі та харчових технологій'
61594;Дошкільний навчальний заклад № 74
61598;Дошкільний навчальний заклад № 67
61599;Дошкільний навчальний заклад № 13
61602;Дошкільний навчальний заклад № 10
61604;Дошкільний навчальний заклад № 14
61606;Дошкільний навчальний заклад № 42
61608;Дошкільний навчальний заклад № 43
61610;Дошкільний навчальний заклад № 46
62739;Дошкільний навчальний заклад № 61
62741;Дошкільний навчальний заклад № 9
62742;Дошкільний навчальний заклад № 73
62744;Дошкільний навчальний заклад № 75
62745;Дошкільний навчальний заклад № 77
62748;Дошкільний навчальний заклад № 51
62749;Дошкільний навчальний заклад № 60
62750;Дошкільний навчальний заклад № 35
62753;Дошкільний навчальний заклад № 29
62754;Дошкільний навчальний заклад № 45
62755;Дошкільний навчальний заклад № 71
62829;Дошкільний навчальний заклад № 28
62830;Дошкільний навчальний заклад № 38
62832;Дошкільний навчальний заклад № 4
62833;Дошкільний навчальний заклад № 2
62841;Дошкільний навчальний заклад № 36
62844;Дошкільний навчальний заклад № 21
62845;Дошкільний навчальний заклад № 47
62847;Дошкільний навчальний заклад № 58
63164;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 32 Вінницької міської ради'
63165;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 31 Вінницької міської ради'
63166;'Заклад 'Вечірня загальноосвітня школа іІ-ІІІ ступенів № 24 Вінницької міської ради'
63167;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 20 Вінницької міської ради'
63168;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 19 Вінницької міської ради'
63169;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 11 Вінницької міської ради'
63170;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 13 Вінницької міської ради'
63171;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 14 Вінницької міської ради'
63172;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 18 Вінницької міської ради'
63174;'Заклад 'Навчально - виховний комплекс: загальноосвітня школа І-ІІІ ступенів - гімназія №6 Вінницької міської ради'
63176;'Заклад 'Навчально виховний комплекс: загальноосвітня школа І - ІІ ступенів - ліцей № 7 Вінницької міської ради'
63177;'Заклад 'Загальноосвітня школа І-ІІІ ступенів із спеціалізованими класами з поглибленим вивченням математики і фізики № 34 Вінницької міської ради'
63178;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 36 Вінницької міської ради'
63179;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 35 Вінницької міської ради'
63180;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 8 Вінницької міської ради'
63181;'Заклад 'Навчально - виховний комплекс: загальноосвітня школа І-ІІІ ступенів - гімназія № 2 Вінницької міської ради'
63182;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 27 Вінницької міської ради'
63183;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 5 Вінницької міської ради'
63184;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 3 ім. М. Коцюбинського Вінницької міської ради'
63186;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 9 Вінницької міської ради'
63187;'Заклад 'Загальноосвітня школа І-ІІІ ступенів № 26 Вінницької міської ради'
63200;'Комунальний заклад 'Гуманітарна гімназія №1 імені М.і. Пирогова Вінницької міської ради'
80981;Дошкільний навчальний заклад № 18
80986;Дошкільний навчальний заклад №50
82053;Дошкільний навчальний заклад №5
83164;'Комунальний заклад 'Центр позашкільної освіти 'Школа успіху'
83632;'Комунальний заклад 'Дошкільний навчальний заклад №7'
84405;Дошкільний навчальний заклад №6
84410;'Дошкільний навчальний заклад №34 'Ромашка'
89145;'Комунальний заклад 'Дошкільний навчальний заклад №19'
92302;'Комунальний заклад 'Дошкільний навчальний заклад №11'
27785;'Заклад 'Міська дитячо-юнацька спортивна школа №1'
29620;'Заклад 'Міська дитячо-юнацька спортивна школа №6'
29674;'Заклад 'Міська спеціалізована дитячо - юнацька спортивна школа олімпійського резерву з баскетболу'
32269;'Заклад 'Міська комплексна дитячо-юнацька спортивна школа 'Вінниця'
35582;'Заклад 'Міська дитячо-юнацька спортивна школа №3'
35606;'Заклад 'Міська дитячо - юнацька спортивна школа №2'
38452;Міська дитячо-юнацька спортивна школа №5
7997;'Комунальний заклад 'Міська клінічна лікарня №2 м.Вінниці'
25127;'Міська лікарня 'Центр матері та дитини'
25372;'Комунальний заклад 'Центр первинної медико-санітарної допомоги №1'
29649;Міська клінічна лікарня № 3
31017;'Комунальний заклад 'Центр первинної медико-санітарної допомоги №6'
31448;Міська клінічна лікарня № 1
35108;Вінницький міський клінічний пологовий будинок №1
35502;'Комунальний заклад 'Центр первинної медико-санітарної допомоги №3'
35537;'Комунальний заклад 'Центр первинної медико-санітарної допомоги №5'
36132;'Комунальний заклад 'інформаційно-аналітичний центр медичної статистики'
37889;Міська клінічна лікарня швидкої медичної допомоги
38811;Вінницький міський клінічний пологовий будинок №2
80994;'Комунальний заклад 'Центр первинної медико-санітарної допомоги №2'
88494;'Комунальний заклад 'Вінницький регіональний клінічний лікувально-діагностичний центр серцево-судинної патології'
24118;'Комунальний заклад 'Міський центр соціально - психологічної реабілітації дітей та молоді з функціональними обмеженнями 'Гармонія'
80972;Територіальний центр соціального обслуговування (надання соціальних послуг) міста Вінниці
27695;'Заклад культури 'Міський Палац мистецтв'
29751;'Заклад 'Вінницька дитяча художня школа'
30196;'Заклад 'Вінницька дитяча музична школа №2'
31176;'Заклад культури 'Вінницька міська централізована бібліотечна система'
37678;'Заклад 'Вінницька дитяча музична школа №1'
38424;'Заклад 'Вінницька дитяча школа мистецтв 'Вишенька'
38679;'Заклад 'Вінницька дитяча школа мистецтв'
78293;'Заклад 'Вінницький літературно-меморіальний музей М. М. Коцюбинського'
87456;'Клубний заклад 'Вінницький міський клуб'
7252;Вінницька обласна організація Товариства Червоного Хреста України
8233;'Вінницьке регіональне управління Державної спеціалізованої фінансової установи 'Державний фонд сприяння молодіжному житловому будівництву'
20027;'Вінницька міська організація соціального розвитку та становлення окремих малозахищених категорій молоді 'Паросток'
30017;'Громадська організація молоді з обмеженими фізичними можливостями 'Гармонія'
30962;'Міське комунальне підприїмство - редакція газети 'Вінницька газета'
37484;Асоціація органів сaмоорганізації населення м. Вінниці
38461;'Комунальне підприїмство 'Радіокомпанія 'Місто над Бугом'
38467;'Міське комунальне підприїмство 'інформаційно-телевізійне агентство 'ВіТА'
38753;'Вінницька міська громадська організація 'Кредо'
55987;'Комунальне підприїмство 'інститут розвитку міст'
83169;'Громадська організація 'Центр Поділля-Соціум'
86286;Громадська організація Вінницький міський комітет молодіжних організацій
86287;'Вінницька міська молодіжна громадська організація 'Молодіжна біржа праці'
88503;'Вінницьке міське громадське формування з охорони громадського порядку 'Вінницька варта'
88508;'Спеціалізованний загін сприяння міліції 'Гепард-Антикримінал'
88557;'Громадське формування з охорони громадського порядку 'Захисник Вінниці'
89026;'Державне підприїмство 'Вінницький завод 'Кристал'
89644;'КОМУНАЛЬНЕ ПіДПРИЇМСТВО 'ВіННИЦЯКАРТСЕРВіС'
90314;'Громадське формування з охорони громадського порядку 'Спеціалізований загін сприяння міліції 'Барс'
90508;'Міське комунальне підприїмство 'Архітектурно-будівельний сервіс'
91179;'Вінницька обласна громадська організація 'Територія мам'
91385;'Громадська організація 'Подільська агенція регіонального розвитку'
91414;'Громадська організація 'Громадський центр 'Форум'
91544;'Вінницька обласна молодіжна громадська організація Молодіжний центр 'Форум'
29872;'Приватний заклад 'Навчально-виховний комплекс 'Школа 'АіСТ': Центр розвитку дитини - загальноосвітня школа І-ІІІ ступенів'
30284;'Вінницька міська благодійна організація 'Благодійний заклад-центр естетичного виховання дітей'
64162;'Вінницька приватна гімназія 'Дельфін'
84554;'Заклад 'Вінницький приватний православний навчально-виховний комплекс Святого Миколая'
38496;'Комунальне підприїмство 'Центральний міський стадіон'
91629;'Громадська організація 'Дитячий хокейний клуб 'Патріот'
31044;'Міське комунальне підприїмство 'Медичний стоматологічний центр'
24026;Вінницька міська організація ветеранів України
27973;'Вінницька міська організація 'Союз Чорнобиль України'
30973;'Вінницька міськрайонна 'Асоціація жертв Чорнобиля'
34474;Спілка учасників бойових дій в Афганістані м. Вінниці
35813;'Громадська організація 'Вінницька територіальна первинна організація Українського товариства сліпих'
40568;'Вінницька міська громадська організація допомоги дітям-інвалідам з інтелектуальною недостатністю 'Надія'
87574;'громадська організайія 'Вінницька рада інвалідів та учасників бойових дій'
93397;'Громадська організація 'Об'їднання переселенців 'Спільна справа'
29088;'Комунальне підприїмство 'Центр концертних та фестивальних програм'
36172;'Міське комунальне підприїмство 'Кінотеатр 'Родина'
53503;'Заклад культури 'Академічний міський камерний хор 'Вінниця'
83220;'Вінницька обласна громадська організація 'Лабораторія актуальної творчості'
91331;'Вінницька міська молодіжна громадська організація 'Ноктюрн'
92043;'Громадська організація 'Розвиток. Розвиток'
56634;'Міське комунальне підприїмство 'Аварійно - диспетчерська служба'
79176;'Громадська організація 'Асоціація старших по будинках м. Вінниці'
86641;'Комунальне підприїмство Вінницької міської ради 'Муніципальна поліція'
92843;'Об'їднання співвласників багатоквартирного будинку 'Надбужанське 15'
29186;'Комунальне підприїмство 'Вінницьке шляхове управління'
31194;'Комунальне підприїмство Вінницької міської ради 'Комбінат комунальних підприїмств'
39501;'Благодійна організація 'Вінницький обласний благодійний фонд захисту тварин 'Планета'
48745;'Комунальне унітарне підприїмство 'ЕкоВін'
53372;'Міське комунальне унітарне підприїмство 'Міськсвітло'
64193;'Міське комунальне підприїмство 'Вінницязеленбуд'
92064;'Міське комунальне підприїмство 'Вінницький муніципальний центр містобудування і архітектури'
31321;'Комунальне підприїмство 'Вінницька транспортна компанія'
44323;'Комунальне підприїмство 'Аеропорт Вінниця'
78187;'Комунальне підприїмство 'Вінницька спеціалізована монтажно-експлуатаційна дільниця з організації дорожнього руху'
